relative_ri_error,object_error,background_error,mean_object_n,relative_index_bias,axial_span_um,true_axial_span_um,axial_span_error,intersection_over_union,method,source,ewald_residual,physical_ewald_residual,physical_scattered_field_error,converged,inner_converged,iterations,outer_iterations,stationarity,seconds
0.459392336470725,0.269012892505088,0.372388751809283,1.33560318862399,-0.251633680178084,8,5.9,0.35593220338983,0.77371062126679,direct,exact,0.0562566828713439,0.0562566828713439,0.0567908526207287,1,1,0,0,0,0.215056
0.519783455123833,0.513110834608456,0.0830187426297182,1.33570251523657,0.0837199893166263,4.7,5.9,-0.203389830508475,0.81876474406675,gp,exact,0.0538306191526779,0.0538306191526779,0.0537948032727321,0,0,40,1,0,124.483804791667
0.385949105722832,0.382853373239081,0.0487853134427938,1.33569253038838,0.0500084250879205,4.9,5.9,-0.169491525423729,0.862867314018721,tv,exact,0.0270261608905741,0.0270261608905741,0.0272282933471323,0,0,500,5,0.000131016370789819,247.259991333333
