outer,inner,objective,data_residual,primal_or_step,dual,cg_residual,cg_iterations
1,1,1.75597495679639e-05,0.0481266321797434,0.0201160773618807,0.0295793504994925,5.22963774034282e-06,7
1,2,1.1453460890567e-05,0.0319590998328586,0.00692251747113286,0.0136563192807876,4.91173432009462e-06,7
1,3,1.00452049071834e-05,0.0270024225518555,0.00635492290804884,0.0075973415320266,2.75627181559004e-06,7
1,4,9.5045874059846e-06,0.0249490594799675,0.00475581278935257,0.00530808313456784,3.95583753963298e-06,6
1,5,9.17888295529126e-06,0.0236125105489512,0.00307797808616613,0.00434790545621148,3.01169474861208e-06,6
1,6,8.94278849217182e-06,0.0225544622778899,0.00210448051496278,0.00378092473922037,6.50169961781813e-06,5
1,7,8.75670303654173e-06,0.0216599802664846,0.00166492328718391,0.00337334850971117,4.62757579376987e-06,5
1,8,8.60483234654992e-06,0.0208858551890828,0.0015338573210387,0.00304973287151387,4.36189257618544e-06,5
1,9,8.47774883921558e-06,0.020221815279769,0.0015479152581564,0.00277706191885328,3.98773327417387e-06,5
1,10,8.3695400282791e-06,0.019655385711107,0.00151930170927048,0.00254844513408919,3.29384319554782e-06,5
1,11,8.27607111889511e-06,0.0191685825654084,0.00144377960860392,0.0023623222639823,2.62453818395579e-06,5
1,12,8.19354420759865e-06,0.0187413309692141,0.00133201612550647,0.00221378110333559,2.21422698499589e-06,5
1,13,8.11943199996504e-06,0.018358702162728,0.0012373391138252,0.00209321649788779,6.64815099533241e-06,4
1,14,8.05241086949797e-06,0.018011548733072,0.00114542625185894,0.00199205194474839,6.30088581265192e-06,4
1,15,7.99155416888048e-06,0.0176946717413756,0.00105725019218254,0.00190371171111905,5.86996096894745e-06,4
1,16,7.93542074516604e-06,0.0174016983869503,0.000955360444428132,0.00182986261598911,5.37528702853614e-06,4
1,17,7.88306817770698e-06,0.0171283007973141,0.000862102309383589,0.00176376688407833,5.07590086163207e-06,4
1,18,7.8338324763535e-06,0.0168712255831484,0.000782119140002126,0.00170505387238392,4.7469653888018e-06,4
1,19,7.78751541880625e-06,0.0166278584317189,0.000723349485811334,0.00165055192718038,4.4072131842685e-06,4
1,20,7.74385539386065e-06,0.0163960588329406,0.000678440310531494,0.00160142682490197,4.10070017982305e-06,4
1,21,7.70253078483161e-06,0.0161742918472256,0.000643291257760559,0.00155535247832544,3.84127497994375e-06,4
1,22,7.66317611081349e-06,0.0159613039999606,0.000614604844888017,0.00151244397967334,3.61011160453861e-06,4
1,23,7.62545213959802e-06,0.0157562204238093,0.000584872188934835,0.00147308727292744,3.39316048099647e-06,4
1,24,7.58915662109041e-06,0.0155584082701408,0.000554409568574327,0.00143655059125535,3.20226287438796e-06,4
1,25,7.55418254420633e-06,0.0153673819279914,0.000522227542030536,0.00140315142456352,3.03075654184491e-06,4
1,26,7.52044183712084e-06,0.0151826403703472,0.0004844393997239,0.00137254643979485,2.88009575139523e-06,4
1,27,7.48788861193982e-06,0.0150036882347251,0.000444317855370903,0.00134370153967469,2.7343533207258e-06,4
1,28,7.45651019914013e-06,0.0148301821568312,0.00040246520335562,0.00131653949097965,2.59445652018386e-06,4
1,29,7.42629565462025e-06,0.0146618861552719,0.000361180850750917,0.00129146218842514,2.45888467802601e-06,4
1,30,7.39718657753307e-06,0.0144984845595406,0.000321653514481312,0.00126820633813503,2.3229308810638e-06,4
