axial_span_censored,axial_span_error,axial_span_um,background_error,converged,ewald_residual,inner_converged,intersection_over_union,iterations,mean_object_n,method,object_error,outer_iterations,physical_ewald_residual,physical_scattered_field_error,relative_index_bias,relative_ri_error,seconds,source,stationarity,true_axial_span_um
0,-0.271186440677966,4.3,0.227569519394047,1,0.18084124389975,1,0.868472174971941,0,1.3356468932554,direct,0.410152950647089,0,0.18084124389975,0.181251148129498,-0.104074953090185,0.469055784616038,1.64624391666667,exact,NaN,5.9
1,0.35593220338983,8,0.152880585446948,0,0.0118628233900602,0,0.863862250855267,100,1.33566028883588,gp,0.331711022411837,1,0.0118628233900602,0.0118595095132768,-0.0588478286620335,0.365246048296363,269.920048041667,exact,NaN,5.9
0,-0.0508474576271186,5.6,0.128179564595785,0,0.00721432886789775,0,0.961845138773899,1000,1.33566261048685,tv,0.175028461713208,5,0.00721432886789775,0.00724934598873162,-0.0510093032715297,0.216944608574761,1186.02013425,exact,0.000104961325791962,5.9
