axial_span_censored,axial_span_error,axial_span_um,background_error,converged,ewald_residual,inner_converged,intersection_over_union,iterations,mean_object_n,method,object_error,outer_iterations,physical_ewald_residual,physical_scattered_field_error,relative_index_bias,relative_ri_error,seconds,source,stationarity,true_axial_span_um
0,-0.271186440677966,4.3,0.227569519394047,1,0.175935213477506,1,0.868472174971941,0,1.3356468932554,direct,0.410152950647089,0,0.175935213477506,0.176344259605836,-0.104074953090185,0.469055784616038,2.646078875,exact,NaN,5.9
1,0.35593220338983,8,0.170489693659867,0,0.00222065781831855,0,0.870224547062389,100,1.33565222044648,gp,0.321340892209474,1,0.00222065781831855,0.00226321109719057,-0.0860889065690718,0.363767377110995,606.323548875,exact,NaN,5.9
0,0.0169491525423728,6,0.175468021977708,0,0.00399748862277869,0,0.9384074121243,1000,1.3356463036358,tv,0.218357650929469,5,0.00399748862277869,0.00413377244730319,-0.106065669313655,0.280123348645208,1704.84551641667,exact,0.000223097532961129,5.9
