case_id,illumination_NA,phi_deg,sampling_field_gap,window_field_gap,sampling_error_gap,window_error_gap,window_co_error_gap
2,0,0,1.73213280136849e-11,0.000281973510848849,5.12645481620666e-14,1.31844297646122e-07,8.72317587145843e-06
2,0.25,0,4.44098475754957e-07,0.000184443790336666,3.17733894750205e-11,4.70070919647569e-07,2.11629089584553e-06
2,0.5,0,1.27064642535515e-06,0.000241728338633627,1.10398870600825e-10,6.65667645029233e-06,1.95151497322105e-05
2,0.25,45,1.19543731603672e-07,0.000185605321573958,4.5912718071861e-12,3.56647861299297e-07,7.13315778916312e-07
2,0.5,45,1.40519931291024e-07,0.000190122338392507,3.05339087347534e-12,3.98222553575633e-06,1.0027140775179e-05
2,0.25,90,4.44098475754946e-07,0.000184443790336675,3.17739168309572e-11,4.70070917704679e-07,1.07383057982441e-05
2,0.5,90,1.27064642535458e-06,0.000241728338633625,1.10398537533918e-10,6.65667644930701e-06,1.02317391319218e-05
