case_id,illumination_NA,phi_deg,sampling_field_gap,window_field_gap,sampling_error_gap,window_error_gap,window_co_error_gap
1,0,0,5.89480872816014e-09,0.000261477921488067,2.64617688872093e-10,3.13654662058294e-06,3.24135704136974e-06
1,0.25,0,3.27301189687519e-07,0.000258854649771531,1.90288507173619e-10,1.3995937632183e-06,1.20709651116324e-06
1,0.5,0,1.00022382812264e-06,0.000336448089813676,7.91775395247996e-11,3.8352888654114e-06,2.97774984618637e-06
1,0.25,45,1.23511448569433e-07,0.000228787891606428,7.42191308411577e-11,1.41555253241332e-07,4.54039534206196e-07
1,0.5,45,3.02137482230551e-07,0.000336623618610507,2.34149089006763e-11,3.9796319942359e-06,4.14904886311684e-06
1,0.25,90,3.27301189689148e-07,0.000258854649771538,1.90288548806983e-10,1.3995937638428e-06,1.41875996963192e-06
1,0.5,90,1.00022382811993e-06,0.000336448089813725,7.91760129681407e-11,3.83528886607754e-06,3.65790768816487e-06
