case_id,illumination_NA,phi_deg,sampling_field_gap,window_field_gap,sampling_error_gap,window_error_gap,window_co_error_gap
3,0,0,1.83371522754331e-15,3.62575465118792e-05,3.64291929955129e-17,2.65032727015703e-07,6.8113586744134e-05
3,0.25,0,2.13284286988055e-07,3.61499454050892e-05,6.00410120926709e-11,3.01565945403683e-07,5.40052853421069e-05
3,0.5,0,4.22783802776192e-07,3.57762537349006e-05,2.81473950050626e-11,8.53553058363307e-08,3.06483464856955e-05
3,0.25,45,6.52973876197398e-08,3.59402677293769e-05,1.8212178293231e-11,8.34984640474962e-08,6.03547666560567e-05
3,0.5,45,1.28527030961949e-07,3.53293644500595e-05,9.72107238456088e-11,2.63480996924928e-08,4.3800566060237e-05
3,0.25,90,2.13284286989569e-07,3.61499454050877e-05,6.00410329093526e-11,3.01565945467867e-07,6.7813919416293e-05
3,0.5,90,4.22783802779265e-07,3.57762537349017e-05,2.81474184238295e-11,8.53553059326079e-08,6.76962592940367e-05
