potential_scale,region,Q_rms_um_minus2,Q_median_um_minus2,Q_p90_um_minus2,Q_over_f_rms,transverse_fraction,min_abs_U,masked_fraction,equation_residual
0.1,interior_core,0.0194146962404301,0.00240778105883526,0.00536772726249847,0.0148613337281331,0.894678203421714,0.968698912573493,0,4.48675927631779e-06
0.1,interior_rim,0.0430760188348308,0.0276965903942786,0.0712664739039364,0.0329733251376168,0.987243060300754,0.981028382442756,0,4.48675927631779e-06
0.1,exit_5_to_7,0.0587796456057706,0.0501694336989055,0.106918894365526,NaN,1.01097438784261,0.924356332539547,0,4.48675927631779e-06
0.1,downstream_7_to_14,0.0525002542753469,0.0395026135230164,0.124788721263907,NaN,1.00441854059494,0.879685253977466,0,4.48675927631779e-06
1,interior_core,3.12735571409698,0.248983726066376,0.558547479921823,0.239389153341447,0.914631084667901,0.692463737643376,0,4.56685804554338e-07
1,interior_rim,3.73305850920753,2.61585707053835,6.0296107774398,0.285753779739545,0.990186388227826,0.776963220546791,0,4.56685804554338e-07
1,exit_5_to_7,17.7752597544256,5.32552330117374,16.1240483055012,NaN,1.16056593534281,0.02718595727214,0.000312500000000049,4.56685804554338e-07
1,downstream_7_to_14,12.2063873028547,4.30849611466963,15.5626899759753,NaN,1.035713009262,0.0409620961331576,5.95238095237871e-05,4.56685804554338e-07
