illumination_NA,phi_deg,window_25_to_51,dx_0p1_to_0p05,window_51_to_102
0,0,0.000698870509087996,5.89480872804433e-09,0.000261477921488385
0.25,0,0.000650537810999664,3.27301189691545e-07,0.000258854649771972
0.25,45,0.000700192669936941,1.23511448569478e-07,0.000228787891608141
0.25,90,0.000650537810999709,3.27301189687391e-07,0.000258854649771986
0.5,0,0.000673232618954802,1.00022382812e-06,0.000336448089814131
0.5,45,0.000738484046246417,3.02137482229191e-07,0.000336623618611117
0.5,90,0.000673232618954834,1.00022382812151e-06,0.000336448089814149
