theta_deg,slice_Q_over_f_rms,minimum_interior_abs_U,masked_interior_fraction,xz_total_Ex_born_error,xz_total_Ex_rytov_error,xz_total_Ex_scalar_error
0,0.478428501643757,0.700019922326965,0,0.838211989366116,0.0827541350009598,0.022421452801424
5,0.466157218827295,0.708793695374052,0,0.842412663195596,0.0836085806249809,0.0227579787494374
10,0.49560662711273,0.547076492799393,0,0.855628973479228,0.0860146770182063,0.0243682104862857
15,0.480821001981162,0.612876094820896,0,0.877658921605688,0.0900045815958032,0.0268716766978734
