theta_deg,potential_scale,index,born_error,rytov1_error,rytov2_error,psi2_over_psi1
0,0.1,1.3383728767475,0.0866727282408774,0.00867206563785333,0.000338611261915767,0.0118669185239167
0,0.25,1.34284739676969,0.216865599390521,0.021928390619225,0.0021400413824219,0.0296672963097917
0,0.5,1.35027198025957,0.435729643890081,0.0451220608964063,0.0087981594543118,0.0593345926195834
0,1,1.365,0.890470992014723,0.0989017407468697,0.0384723510403623,0.118669185239167
5,0.1,1.3383728767475,0.0868871765553438,0.00872666156639194,0.000341574539474167,0.0119288969862707
5,0.25,1.34284739676969,0.217404966110639,0.022068208755224,0.00215841728708546,0.0298222424656768
5,0.5,1.35027198025957,0.436814815107554,0.0454181505598937,0.0088717299364142,0.0596444849313537
5,1,1.365,0.892733276423281,0.0995743968853956,0.0387755956354289,0.119288969862707
10,0.1,1.3383728767475,0.087525867197772,0.00888491263076617,0.000349474701978523,0.0121368371385067
10,0.25,1.34284739676969,0.219007205558005,0.0224682530654536,0.00220760925808081,0.0303420928462668
10,0.5,1.35027198025957,0.440069173827438,0.0462483668069067,0.00906900594182645,0.0606841856925336
10,1,1.365,0.899680850850682,0.101486777559607,0.0396003123897838,0.121368371385067
15,0.1,1.3383728767475,0.0886010532205173,0.00915891956786337,0.000364237971923108,0.0125117941440218
15,0.25,1.34284739676969,0.221703584366004,0.0231609297040544,0.00230111616688693,0.0312794853600544
15,0.5,1.35027198025957,0.445542388772051,0.0476858013145769,0.00945772322660298,0.0625589707201087
15,1,1.365,0.911385604834055,0.104790490912168,0.0413820349307711,0.125117941440217
