configuration,Nxy,Nz,dx_um,padding,window_um,illumination_NA,theta_deg,phi_deg,continuous_born_scalar,continuous_rytov_scalar,continuous_born_co,continuous_rytov_co,continuous_born_full,continuous_rytov_full,scalar_co,scalar_full,polarization_leakage,voxel_born_scalar,voxel_rytov_scalar,voxel_born_co,voxel_rytov_co,voxel_born_full,voxel_rytov_full,voxel_born_continuous_gap,voxel_rytov_continuous_gap,scalar_norm2,co_norm2,vector_norm2,max_abs_rytov_phase,voxel_volume_error,voxel_seconds
sampling_0p05,1024,0,0.05,0,51.2,0.5,21.9887681072876,0,0.936108542604428,0.111986613337762,0.936475296256799,0.111916916763821,0.936537968898735,0.116050413211174,0.00693824177356391,0.0316598772420457,0.0308910110731797,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5932.06558787702,5922.41793559095,5928.07482805799,2.42349345173257,NaN,NaN
sampling_0p05,1024,0,0.05,0,51.2,0.05,2.14579781294776,45,0.890839908231632,0.099036163580122,0.891227646961073,0.0988339635081782,0.89133331745166,0.103319268552643,0.00733258427130955,0.0311348809128044,0.0302599281168053,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5383.49091883099,5374.75311238236,5379.679086817,2.38008832673242,NaN,NaN
sampling_0p05,1024,0,0.05,0,51.2,0.1,4.294612721817,45,0.892141263004283,0.0994041854808868,0.892519717576789,0.099204986679526,0.892624131519611,0.103677207425294,0.00731788848118878,0.031142491510768,0.0302713124543836,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5398.43753167752,5389.71824980541,5394.66166073729,2.35069697513249,NaN,NaN
sampling_0p05,1024,0,0.05,0,51.2,0.15,6.44950021830543,45,0.894253929850411,0.10000360367088,0.894637495316452,0.0998096832217332,0.894739821213441,0.104259576155018,0.00729095999684286,0.0311501693855464,0.0302857014602666,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5423.78499773359,5414.99880563037,5419.97013075774,2.3015977936774,NaN,NaN
sampling_0p05,1024,0,0.05,0,51.2,0.2,8.61359395458848,45,0.897281131924279,0.10083575049392,0.897662178321025,0.100648332203398,0.89776150291344,0.105066888258767,0.00724834589126847,0.0311569675141526,0.0303029099406615,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5459.45310890726,5450.62932346803,5455.63905323312,2.22855777332993,NaN,NaN
sampling_0p05,1024,0,0.05,0,51.2,0.25,10.7901483426374,45,0.901208321493437,0.10190923821059,0.901588500732234,0.101731430455357,0.901683921743015,0.106109610304788,0.00719677628619214,0.0311645214405679,0.0303229522136179,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5506.18066996353,5497.29573690366,5502.35505019881,2.24922982115769,NaN,NaN
sampling_0p05,1024,0,0.05,0,51.2,0.3,12.9825856588502,45,0.906079502471147,0.103267745236337,0.906458585080432,0.10309795679122,0.90654916793991,0.107425808210603,0.00713292876022733,0.0311726780416637,0.0303464007415357,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5564.48900664086,5555.51729691563,5560.63811100572,2.31406396245996,NaN,NaN
sampling_0p05,1024,0,0.05,0,51.2,0.35,15.1945496629494,45,0.911939330084397,0.104951687949251,0.912317635909365,0.104789864031989,0.912402387981045,0.109055454955009,0.00705326274436509,0.0311770272865599,0.0303694649007904,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5635.12290653271,5626.05596264731,5631.24968900374,2.30750001340742,NaN,NaN
sampling_0p05,1024,0,0.05,0,51.2,0.4,17.4299682548373,45,0.918850343446733,0.10695899722104,0.919226410094972,0.106803877316142,0.919304307025559,0.110997151054116,0.00696908215999607,0.0311827011036841,0.0303946970870259,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5719.051632481,5709.88066597634,5715.16054624196,2.3472608096015,NaN,NaN
sampling_0p05,1024,0,0.05,0,51.2,0.45,19.6931284542689,45,0.926878369916628,0.109302248921105,0.927251906684729,0.109163007820278,0.927321851561556,0.113272883416421,0.00687481787291365,0.0311837865903334,0.0304172509211088,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5817.53996933755,5808.24067524614,5813.61948921311,2.37399775573011,NaN,NaN
