configuration,Nxy,Nz,dx_um,padding,window_um,illumination_NA,theta_deg,phi_deg,continuous_born_scalar,continuous_rytov_scalar,continuous_born_co,continuous_rytov_co,continuous_born_full,continuous_rytov_full,scalar_co,scalar_full,polarization_leakage,voxel_born_scalar,voxel_rytov_scalar,voxel_born_co,voxel_rytov_co,voxel_born_full,voxel_rytov_full,voxel_born_continuous_gap,voxel_rytov_continuous_gap,scalar_norm2,co_norm2,vector_norm2,max_abs_rytov_phase,voxel_volume_error,voxel_seconds
baseline,256,80,0.1,2,25.6,0,0,0,0.890470916822732,0.0988522846352425,0.890840101145936,0.0986403575697555,0.890946035968161,0.103128593822727,0.00727382463907426,0.0311021659244163,0.0302404461663564,0.88807094492531,0.0998066957166861,0.888433901688845,0.0995748263104115,0.888542326532451,0.104021936969511,0.00610190968358717,0.00708652810571949,5378.23354011058,5369.6013730328,5374.51628532403,2.34298158639936,-0.000936675729245162,1.26680833333333
baseline,256,80,0.1,2,25.6,0.05,2.14579781294776,0,0.890839691093235,0.0990419309287887,0.891232244757026,0.0988382616427634,0.891337965248848,0.103325650183698,0.00730832140221004,0.0311368014155844,0.0302677678896998,0.88525891579612,0.0946306160934225,0.885632620250863,0.0943354504937614,0.885744154718159,0.0990311169304168,0.0109866261957059,0.0129707471641388,5383.49867708059,5374.73696088657,5379.66547563502,2.35356526674819,-0.000936675729245162,1.26680833333333
baseline,256,80,0.1,2,25.6,0.1,4.294612721817,0,0.892140762013417,0.099408128931207,0.892516191439902,0.0992111440536285,0.892620774858693,0.103690043031188,0.00733468576827947,0.0311697931337183,0.0302953422913235,0.883332844071586,0.0924967829255654,0.883677842683852,0.0921239392289989,0.883791623458145,0.0969372924841626,0.0161653725673541,0.0189346183286968,5398.44890991447,5389.72883446309,5394.68011375875,2.33982642602243,-0.000936675729245162,1.26680833333333
baseline,256,80,0.1,2,25.6,0.15,6.44950021830543,0,0.894253055674055,0.100011932543118,0.894638327830557,0.0998223312588752,0.894740986688178,0.104285878758896,0.00733354793357043,0.0312081338423068,0.0303350652332106,0.883419881852057,0.0929836600210493,0.883770853859458,0.0925862685244989,0.883884835607064,0.0973886287462717,0.0190817561575686,0.0221788256001845,5423.80110947128,5414.98430936308,5419.97185517399,2.29603540613376,-0.000936675729245162,1.26680833333333
baseline,256,80,0.1,2,25.6,0.2,8.61359395458848,0,0.897280279149171,0.100846869254999,0.897661084580047,0.100668738606882,0.89776093953588,0.105109461446769,0.00730681899259845,0.031248995939496,0.0303835388089055,0.885239044644896,0.0953319878876282,0.885587866801882,0.094987242311882,0.885700303050337,0.0996865404969984,0.0203956745883255,0.0234926038970992,5459.46934687669,5450.60759957119,5455.64402880612,2.23598006173836,-0.000936675729245162,1.26680833333333
baseline,256,80,0.1,2,25.6,0.25,10.7901483426374,0,0.901207743570152,0.101935074818597,0.901587417428869,0.101767644022309,0.901683612419424,0.106179012200597,0.0072667317839193,0.0312999295505464,0.0304455110961461,0.890029923701145,0.100868276882646,0.890384918453155,0.100612317321458,0.890492771644406,0.105073233455291,0.0203983513335403,0.0231181940490655,5506.19448328788,5497.26000056563,5502.36029869778,2.25513168045554,-0.000936675729245162,1.26680833333333
baseline,256,80,0.1,2,25.6,0.3,12.9825856588502,0,0.906079561780562,0.103273550277108,0.906457364326221,0.103118300675082,0.906548976529399,0.107493427543713,0.00721289612180774,0.0313581555273613,0.0305181339902514,0.891954297303057,0.0996036585612522,0.892300420214151,0.0992962050681315,0.892406774028716,0.103835976008452,0.023760651084565,0.0271799528865258,5564.49633555433,5555.44891497986,5560.62784187695,2.33914195264873,-0.000936675729245162,1.26680833333333
baseline,256,80,0.1,2,25.6,0.35,15.1945496629494,0,0.911939353177067,0.104963913186267,0.912316509304121,0.104820418744053,0.912402559640563,0.109148761208668,0.00714973168834424,0.0314243764578489,0.0306009908519425,0.895231815707159,0.0986958664469308,0.895567740639389,0.0983229283499842,0.895671228982104,0.102930880347831,0.02787651270695,0.0321401503571382,5635.1294517746,5625.95913719422,5631.23233939178,2.30778555422112,-0.000936675729245162,1.26680833333333
baseline,256,80,0.1,2,25.6,0.4,17.4299682548373,0,0.91885005874846,0.106978868346516,0.919223918643997,0.106846517648732,0.9193033682279,0.111119952491668,0.00708455048322214,0.0315018356297027,0.0306956362277112,0.900462383338676,0.0993191529690182,0.900790892713658,0.0989257062869431,0.900889511898374,0.103534035873172,0.0305458623372395,0.0354303256355369,5719.06339384345,5709.76520197265,5715.15014264715,2.34449032624053,-0.000936675729245162,1.26680833333333
baseline,256,80,0.1,2,25.6,0.45,19.6931284542689,0,0.926877229824964,0.109318600143538,0.927247508795173,0.109210168629347,0.927319212103834,0.113419397585864,0.00701819610995537,0.0315851031018597,0.0307962721013929,0.907493341141635,0.101785083536916,0.907821269617413,0.101448168876496,0.907913126644197,0.105973489889248,0.0314578344400999,0.0365864828447047,5817.56225691598,5808.09762240661,5813.61131169284,2.36465236651851,-0.000936675729245162,1.26680833333333
