potential_scale,z_um,born_error,rytov1_error,rytov2_error,psi2_over_psi1,max_abs_psi1,rytov1_vs_vector
0.1,5.2,0.164886029156135,0.0185608600102868,0.000276609167483614,0.0316783977392541,0.438414714472508,NaN
0.1,7,0.164886029156135,0.0251635676775897,0.00045914191491979,0.042094993666614,0.425199862689691,NaN
0.1,14,0.164886029156135,0.0469997914272606,0.00274543254172769,0.0731317346238104,0.612134312658725,NaN
0.25,5.2,0.413721963605556,0.0450463562032937,0.00161671011961019,0.0791959943481352,1.09603678618127,NaN
0.25,7,0.413721963605555,0.0615349587983287,0.00265128412412627,0.105237484166535,1.06299965672423,NaN
0.25,14,0.413721963605556,0.113964837277966,0.0225925541184738,0.182829336559526,1.53033578164681,NaN
0.5,5.2,0.848603901561092,0.0866309960339799,0.00706736743645474,0.15839198869627,2.19207357236254,NaN
0.5,7,0.84860390156109,0.120053510545581,0.0123260173285679,0.21047496833307,2.12599931344846,NaN
0.5,14,0.848603901561091,0.219165889757336,0.196581214931156,0.365658673119052,3.06067156329363,NaN
1,5.2,1.97232680126168,0.168729615371093,0.0439342985161403,0.316783977392541,4.38414714472508,0.169768201717499
1,7,1.97232680126168,0.241742397339485,0.133812311475516,0.420949936666141,4.25199862689691,0.243021007184153
1,14,1.97232680126168,0.472136464043157,27.049959316005,0.731317346238103,6.12134312658725,0.473357599935212
