potential_scale,region,Q_rms_um_minus2,Q_median_um_minus2,Q_p90_um_minus2,Q_over_f_rms,transverse_fraction,min_abs_U,masked_fraction,equation_residual
0.1,interior_core,0.0205525270980213,0.00243193709548693,0.00519912686962653,0.0157323071336103,0.86754166114035,0.976988267938581,0,4.48675927631779e-06
0.1,interior_rim,0.0437409804171002,0.0274047695214876,0.0716613131459321,0.0334823321222286,0.987654299124,0.982797891224714,0,4.48675927631779e-06
0.1,exit_5_to_7,0.0588158158215291,0.049996080793932,0.106525473600449,NaN,1.01054201524987,0.932198340999498,0,4.48675927631779e-06
0.1,downstream_7_to_14,0.0525024238510661,0.0395030432619187,0.124461022066113,NaN,1.00441103289904,0.881786171356585,0,4.48675927631779e-06
1,interior_core,3.44688252614351,0.241333633535387,0.55626755963737,0.263847916590193,0.858405160423712,0.812605072912256,0,4.56685804554338e-07
1,interior_rim,3.78803696162353,2.63626050158057,6.08696578755686,0.289962205764305,0.990470877918014,0.778487522655366,0,4.56685804554338e-07
1,exit_5_to_7,30.4271042681547,5.25342173199678,17.0304162437923,NaN,1.14511750700131,0.127024316700847,0,4.56685804554338e-07
1,downstream_7_to_14,15.492555779308,4.3114347068618,15.5164651470746,NaN,1.0961979230848,0.143290308161871,0,4.56685804554338e-07
