case_id,illumination_NA,phi_deg,sampling_field_gap,window_field_gap,sampling_error_gap,window_error_gap,window_co_error_gap
3,0,0,2.30653375640552e-15,2.16164340266878e-06,8.81456366230715e-17,1.91517492900825e-08,1.38182685946453e-07
3,0.25,0,2.9243283426741e-09,2.08081989427653e-06,3.12643140543134e-13,3.44335139980216e-09,2.31451247539351e-06
3,0.5,0,8.89012172662971e-09,2.65424244824352e-06,4.05874335876466e-14,1.0020829289731e-08,1.43264793825426e-06
3,0.25,45,1.10304022073629e-09,1.84547620291583e-06,7.40631514450918e-14,8.24288037056409e-09,5.3267378691442e-07
3,0.5,45,2.67802251524904e-09,2.65253985405803e-06,3.46218279739796e-15,3.61868809506264e-08,2.34444508518533e-07
3,0.25,90,2.92432834175217e-09,2.0808198942761e-06,3.12657994112897e-13,3.44335142311251e-09,2.23151779495633e-06
3,0.5,90,8.89012172585509e-09,2.65424244825349e-06,4.05823378374359e-14,1.00208292796479e-08,2.30081980601583e-06
