case_id,illumination_NA,theta_deg,phi_deg,born_scalar,rytov_scalar,born_co,rytov_co,born_full,rytov_full,scalar_co,scalar_full,vector_born_co,vector_born_full,scalar_norm2,co_norm2,vector_norm2,max_abs_rytov_phase
1,0,0,0,0.890470992014723,0.0989017407468697,0.890840186467239,0.0986889937277812,0.890946100584147,0.103174217581109,0.00726469786462999,0.0310971731402484,0.890555946412088,0.890397583701347,5378.22776656432,5369.5979531137,5374.51190479606,2.39509676628818
1,0.05,2.14579781294776,0,0.890840029374832,0.0990369073075611,0.89123245619532,0.0988322943833406,0.891338146042694,0.103318683769658,0.00729775440868425,0.0311300906016427,0.890949003695465,0.890789921669762,5383.48932181992,5374.73088068608,5379.65797007895,2.37261240883843
1,0.1,4.294612721817,0,0.892141255984016,0.0994049525883774,0.892516400414905,0.0992081789674134,0.89262094252385,0.103685486594194,0.00732061841364173,0.0311607027910638,0.892232472193615,0.892072921625634,5398.43750914897,5389.72190361954,5394.67122915784,2.34517896416909
1,0.15,6.44950021830543,0,0.89425386320725,0.100002400960646,0.894638700966459,0.0998143408735533,0.894741306671939,0.104275991967995,0.00731746012493209,0.0311967809775323,0.894353533604285,0.894193414892703,5423.7857696766,5414.97467810256,5419.95964896346,2.30347262603119
1,0.2,8.61359395458848,0,0.897280970780397,0.100834022069993,0.897661394401611,0.100656820748282,0.897761208275685,0.105096282943476,0.00729425586825553,0.0312400326612357,0.89737417790386,0.897213377602276,5459.45491489857,5450.59758733996,5455.63194940972,2.22584167705715
1,0.25,10.7901483426374,0,0.901208153641913,0.101910852443608,0.901587472442665,0.101746113322428,0.901683631049914,0.106156763634247,0.0072552453558606,0.0312916745922763,0.90129755800255,0.901135947196637,5506.18298287884,5497.25256378608,5502.35092708678,2.2561411610179
1,0.3,12.9825856588502,0,0.906079551190286,0.103267383394475,0.906457055611548,0.103114370820882,0.906548641417656,0.107488411144183,0.00720320301628202,0.0313515982415952,0.906163659372337,0.906001150269731,5564.48854855433,5555.4441806001,5560.62159133728,2.32045854292876
1,0.35,15.1945496629494,0,0.911939303508034,0.104951761125246,0.912316362855052,0.104807370286249,0.912402395318099,0.10913535318989,0.00714146959109384,0.0314193782054038,0.912018667057081,0.911855215939175,5635.12381191994,5625.95585959451,5631.22795309547,2.30485269140457
1,0.4,17.4299682548373,0,0.918850474494931,0.106959203810103,0.919224007737602,0.106827259458612,0.919303426364422,0.111099823876749,0.00707447552515086,0.0314937626899373,0.918921164162042,0.918756807428606,5719.05040482707,5709.7563807285,5715.13921902208,2.34756205225372
1,0.45,19.6931284542689,0,0.926878170594135,0.109305009899877,0.927248156168637,0.109196784717796,0.927319829083366,0.113404809500175,0.00700760920772664,0.0315765285486175,0.926939313537128,0.92677407480038,5817.54297913256,5808.08289890346,5813.59428582828,2.37202284012318
1,0.5,21.9887681072876,0,0.936108542604428,0.111986613258584,0.936475296256799,0.11191691663525,0.936537968898735,0.116050413087305,0.00693824177356391,0.0316598772420457,0.936159387541659,0.935993538867874,5932.06558787702,5922.41793559095,5928.07482805799,2.42349345173257
1,0.05,2.14579781294776,45,0.890839908231632,0.0990361637438447,0.891227646961073,0.0988339636978332,0.89133331745166,0.103319268733899,0.00733258427130955,0.0311348809128044,0.890944307662731,0.890785210503564,5383.49091883099,5374.75311238236,5379.679086817,2.36029778320739
1,0.1,4.294612721817,45,0.892141263004283,0.0994041856513133,0.892519717576789,0.0992049868351694,0.892624131519611,0.103677207574087,0.00731788848118878,0.031142491510768,0.892236150354131,0.892076695779474,5398.43753167752,5389.71824980541,5394.66166073729,2.33779194935456
1,0.15,6.44950021830543,45,0.894253929850411,0.100003604246726,0.894637495316452,0.0998096837329859,0.894739821213441,0.104259576643999,0.00729095999684286,0.0311501693855464,0.894353289932082,0.894193402097771,5423.78499773359,5414.99880563037,5419.97013075774,2.3015977936774
1,0.2,8.61359395458848,45,0.897281131924279,0.10083575011007,0.897662178321025,0.100648331832,0.89776150291344,0.105066887903314,0.00724834589126847,0.0311569675141526,0.897376745353486,0.897216354674157,5459.45310890726,5450.62932346803,5455.63905323312,2.21835966778172
1,0.25,10.7901483426374,45,0.901208321493437,0.101909238284809,0.901588500732234,0.101731430490285,0.901683921743015,0.106109610338244,0.00719677628619214,0.0311645214405679,0.901301556542262,0.901140570630539,5506.18066996353,5497.29573690366,5502.35505019881,2.24172576847589
1,0.3,12.9825856588502,45,0.906079502471147,0.103267745427879,0.906458585080432,0.10309795694431,0.90654916793991,0.107425808357389,0.00713292876022733,0.0311726780416637,0.906169590174551,0.906007923412382,5564.48900664086,5555.51729691563,5560.63811100572,2.30527617358656
