case_id,metric,mean_error,pooled_L2,minimum,maximum,worst_NA,worst_phi,fraction_below_1pct,fraction_below_5pct,radial_coarsening_gap,azimuth_coarsening_gap
1,born_scalar,0.912812935840378,0.913301786874843,0.890470992014723,0.936108542604431,0.5,270,0,0,0.000379849146430078,4.55040161106979e-09
1,rytov_scalar,0.105253937882351,0.105436421576917,0.0989017407468697,0.111986613258584,0.5,0,0,0,0.000108911678032758,6.05361487590605e-07
1,born_co,0.913190300270672,0.913679069335612,0.890840186467239,0.936483552985718,0.5,270,0,0,0.000379213032105086,3.87055054673624e-10
1,rytov_co,0.105092808831493,0.105276970422943,0.0986889937277812,0.11191691663525,0.5,0,0,0,0.000109905797833681,4.76087698889072e-07
1,born_full,0.913274203244906,0.913762421102818,0.890946100584147,0.936542546974992,0.5,270,0,0,0.000378838456063457,2.71649258642981e-10
1,rytov_full,0.109349730217048,0.109522190684294,0.103174217581109,0.116050413087305,0.5,0,0,0,0.000106135448977446,4.79206481662775e-07
1,scalar_co,0.007049653791375,0.00704718000784803,0.00657557116159735,0.00733258427130955,0.05,45,1,1,4.6232722931824e-06,8.61456451932245e-07
1,scalar_full,0.0311712392375053,0.0311722062582491,0.0306848778684549,0.0316598772420458,0.5,180,0,1,9.41426876850671e-07,6.04180507127877e-07
1,vector_born_co,0.912898291739962,0.913386843020135,0.890555946412088,0.936195212245992,0.5,270,0,0,0.000379014957800905,9.23724674528614e-09
1,vector_born_full,0.912736111151871,0.91322465709595,0.890397583701347,0.936032644220923,0.5,270,0,0,0.000379015761171164,5.22585186235602e-09
2,born_scalar,0.443720215004658,0.443979174704468,0.433308733668012,0.454518374429027,0.5,90,0,0,0.00017416936786524,5.75106484657084e-09
2,rytov_scalar,0.0476010024734498,0.0476872077412317,0.0448577650653481,0.0504957700857394,0.5,90,0,0.9025,4.66136641771656e-05,2.87971696870393e-07
2,born_co,0.443904326489968,0.444163075592274,0.4335050464136,0.454695014409737,0.5,270,0,0,0.00017419534550478,4.96679375405762e-09
2,rytov_co,0.048017427647094,0.0481019331605415,0.0452924433396378,0.0509205093750948,0.5,0,0,0.9025,4.63255298547433e-05,1.5016412266422e-07
2,born_full,0.444588967211441,0.444846945368275,0.43421290945403,0.455373737639052,0.5,0,0,0,0.000173765069263421,3.94078514265317e-09
2,rytov_full,0.0553351334824559,0.0554024194508698,0.0529737743537974,0.0580607949482364,0.5,0,0,0,4.03876619202159e-05,1.34452960896814e-07
2,scalar_co,0.006564623580882,0.00656108800813469,0.0061203315107716,0.00687414956395226,0.05,45,1,1,4.67409467807926e-06,5.80515048624435e-07
2,scalar_full,0.0282922702747603,0.0282913381193649,0.0277450122087434,0.0286507146574157,0.5,0,0,1,2.08249499930938e-06,5.20943871623603e-07
2,vector_born_co,0.44373487268565,0.443993632777866,0.433334156375841,0.454532844044607,0.5,270,0,0,0.000174154816507843,6.76808892263736e-09
2,vector_born_full,0.44368547240306,0.443944249781904,0.433284704334012,0.454484326265589,0.5,270,0,0,0.000174178350012599,5.26210908180502e-09
3,born_scalar,0.00877810957207782,0.008783382380039,0.0085746430054445,0.00898915286108553,0.5,90,1,1,3.40600517325686e-06,1.84029427113819e-10
3,rytov_scalar,0.000905361710042422,0.00090704132708158,0.000853729066499862,0.000959997498316809,0.5,270,1,1,8.89752119157656e-07,5.37184650429602e-09
3,born_co,0.0109129139464073,0.0109124428516732,0.0108401999533651,0.0109534513591385,0,0,0,1,3.65892941013232e-07,5.19937330377418e-08
3,rytov_co,0.00658708763703128,0.00658314559874824,0.00618209199093273,0.00690523167840103,0,0,1,1,4.2291465888588e-06,1.65044106830922e-07
3,born_full,0.0287098500091506,0.028709850601346,0.0282480989279268,0.0290950170171823,0.5,0,0,1,8.2711191095805e-07,3.96016376354863e-07
3,rytov_full,0.0273611858727043,0.0273599221001105,0.0268089048521867,0.0277006234404976,0.5,180,0,1,1.97156608638949e-06,4.77687089509016e-07
3,scalar_co,0.00647658447161084,0.0064726156226573,0.00605428272223159,0.00681232294338731,0,0,1,1,4.52534478710079e-06,1.59316253405851e-07
3,scalar_full,0.0273348732092034,0.0273335563378287,0.0267797408792214,0.0276714270821864,0.5,0,0,1,2.01805516123962e-06,4.76390011387023e-07
3,vector_born_co,0.00877815578103372,0.00878342424049923,0.00857484480659647,0.00898919284061473,0.5,90,1,1,3.40336207168244e-06,2.0217370312603e-10
3,vector_born_full,0.00877735245468472,0.00878262134287651,0.00857403200370558,0.00898841041970066,0.5,90,1,1,3.40385002234322e-06,1.60223050105213e-10
