case_id,factor,a_um,b_um,n_particle,n_background,index_ratio,delta_n,lambda0_um,lambda_medium_um,phase_diameter_rad,kb,volume_um3,z_detector_um,L,M
1,1,3,5,1.365,1.335381534,1.0221797780229,0.0296184660000001,0.532,0.398388016049951,2.0988531247263,78.8576093412381,314.159265358979,5,114,59
2,0.5,3,5,1.350190767,1.335381534,1.01108988901145,0.014809233,0.532,0.398388016049951,1.04942656236315,78.8576093412381,314.159265358979,5,114,59
3,0.01,3,5,1.33567771866,1.335381534,1.00022179778023,0.000296184660000032,0.532,0.398388016049951,0.0209885312472652,78.8576093412381,314.159265358979,5,114,59
