case_id,illumination_NA,theta_deg,phi_deg,born_scalar,rytov_scalar,born_co,rytov_co,born_full,rytov_full,scalar_co,scalar_full,vector_born_co,vector_born_full,scalar_norm2,co_norm2,vector_norm2,max_abs_rytov_phase
2,0,0,0,0.433308733668012,0.0448577650653481,0.4335050464136,0.0452924433396378,0.43421290945403,0.0529737743537974,0.00684264561179239,0.0283399602223665,0.433334156375841,0.433284704334012,1613.82336530073,1611.38507043502,1612.60479142023,1.19098087673381
2,0.05,2.14579781294776,0,0.433520476564303,0.0449212223331481,0.433709048327083,0.0453650483968209,0.434417043440668,0.0530420445816353,0.00685610385413025,0.0283548833247179,0.433539071055276,0.433489473565406,1615.53820254118,1613.12075514494,1614.34285923623,1.17980035153532
2,0.1,4.294612721817,0,0.434104136684125,0.0450779705367035,0.434297301155799,0.0455297008037492,0.435004701863058,0.0531909489005439,0.00685796202067872,0.0283705916016501,0.434127521717971,0.434077870897049,1620.89322284534,1618.44680526089,1619.67434749169,1.16615885343637
2,0.15,6.44950021830543,0,0.435106346466478,0.0453369602036442,0.43529561072113,0.0457910841081073,0.436001940157073,0.0534277789656027,0.00683961358705958,0.0283908627118375,0.435125728640514,0.435076020351444,1629.83010824476,1627.3782056984,1628.61480688173,1.14542004577734
2,0.2,8.61359395458848,0,0.436510199240382,0.0456945620404596,0.436699442599309,0.0461482299527764,0.437404230261,0.0537518988913043,0.00680506378236866,0.0284165850454474,0.436529162280898,0.436479400758502,1642.56769788599,1640.08802383389,1641.33745695378,1.10681744024918
2,0.25,10.7901483426374,0,0.438336096449406,0.0461610400861375,0.438523675672577,0.0466117527635038,0.439226355686594,0.0541721436397196,0.00675643938755013,0.0284471326931914,0.438352835941151,0.438303038325219,1659.23153276202,1656.72145588915,1657.98753619759,1.12188409913331
2,0.3,12.9825856588502,0,0.440599671575224,0.0467494846808662,0.440786206339361,0.0471928881186761,0.441486156996751,0.0546985124931114,0.00669660124026666,0.0284829023214484,0.440614544332541,0.440564741174797,1680.08192366089,1677.53474996656,1678.82150894911,1.15386642777055
2,0.35,15.1945496629494,0,0.443322665800923,0.0474760428992372,0.44350664481157,0.0479086198161627,0.444203127119254,0.0553455989012499,0.00662844909979392,0.0285231230982401,0.443333887746892,0.443284136668367,1705.43499719984,1702.84424619029,1704.15587707891,1.14610629423772
2,0.4,17.4299682548373,0,0.446527935375835,0.04833697351263,0.446709560904868,0.0487596545832213,0.447401657457825,0.056113675933803,0.00655237444400421,0.0285653483994329,0.446535449300437,0.44648585159224,1735.70104216956,1733.05565688582,1734.39648187959,1.16734386290084
2,0.45,19.6931284542689,0,0.450246728224961,0.0493437706496886,0.450425788852083,0.0497636582586612,0.451112510607822,0.0570191204191704,0.00647055434873227,0.0286097423468824,0.450250090370233,0.450200759377976,1771.3797733162,1768.67274663852,1770.04751032802,1.1795071838123
2,0.5,21.9887681072876,0,0.454518374429024,0.0504957700857391,0.454693698943729,0.0509205093750948,0.455373737639052,0.0580607949482364,0.00638080334441301,0.0286507146574157,0.454516055421241,0.454467197852597,1813.10313174796,1810.32700185935,1811.7404865737,1.20510135395332
2,0.05,2.14579781294776,45,0.433520405798313,0.0449209130691622,0.433710641119971,0.0453693489945395,0.434418474703285,0.0530441322353452,0.00687414956395226,0.0283562728149001,0.433540717264284,0.433491105116347,1615.53874261337,1613.1158342066,1614.33766187449,1.17367680620006
2,0.1,4.294612721817,45,0.434104127996225,0.0450777265008382,0.43429641062693,0.0455269373476634,0.435002989707777,0.0531802987362386,0.00685587877460879,0.0283545181584763,0.434126787141554,0.434077146277776,1620.89331571165,1618.45254215932,1619.67865705621,1.16248560168968
2,0.15,6.44950021830543,45,0.435106373080912,0.0453371149843178,0.435296269633296,0.0457845900256756,0.436000652934508,0.0534026742675896,0.00682383711348761,0.028350197569268,0.435126887688009,0.435077221424284,1629.82992717697,1627.38274831761,1628.61594316347,1.14448777050901
2,0.2,8.61359395458848,45,0.436510250546559,0.0456952102224265,0.436699637812362,0.0461384430376866,0.437400910092388,0.0537082187239542,0.00678042922462757,0.0283437579149189,0.436530283395862,0.436480606830854,1642.5673665734,1640.09951223633,1641.34271315827,1.10309695175284
2,0.25,10.7901483426374,45,0.438336191414057,0.0461604446835509,0.438524086772317,0.0465985464095639,0.439221220544775,0.0541052049042646,0.00672233074847234,0.0283328294225281,0.438354866363414,0.4383052057881,1659.23076443209,1656.73959204221,1657.99567916955,1.11471593077795
2,0.3,12.9825856588502,45,0.440599661781038,0.0467496486675387,0.44078626583692,0.0471778935851043,0.44147830577793,0.0546064419570874,0.00665377751160895,0.0283202354139787,0.440617027921087,0.440567397968813,1680.08195777604,1677.56187136187,1678.83408600413,1.14631687411386
2,0.35,15.1945496629494,45,0.443322710751736,0.0474758084148116,0.44350698549491,0.0478919064784367,0.444192712111041,0.0552238038423852,0.0065689018622819,0.0282999934624657,0.443337744279937,0.443288217717425,1705.43450192377,1702.88061657832,1704.17199015111,1.14560468007747
2,0.4,17.4299682548373,45,0.446527884851749,0.048336922578153,0.446709967081076,0.0487386046775501,0.447388293915793,0.0559583675369007,0.00647901487011379,0.0282777825937754,0.446540536684362,0.446491157722593,1735.70131298403,1733.10537450181,1734.41952190472,1.16245617907791
2,0.45,19.6931284542689,45,0.450246801901298,0.0493424039845046,0.450426257045349,0.0497350655032995,0.451095769111732,0.0568234821670867,0.00637482973734643,0.0282455672752818,0.45025664929469,0.450207532927104,1771.37906789158,1768.73587927618,1770.07618873363,1.17474857217395
