case_id,illumination_NA,phi_deg,sampling_field_gap,window_field_gap,sampling_error_gap,window_error_gap,window_co_error_gap
2,0,0,4.09404100814546e-10,0.0001142862904562,8.72288352660178e-14,1.24758331838948e-06,1.52235443923177e-06
2,0.25,0,1.49762412060026e-07,0.000111427647453311,1.75985892525432e-11,3.59565784660565e-07,5.34285978133486e-07
2,0.5,0,4.55504369798007e-07,0.000143089385754257,3.92668328408341e-11,1.15587385841887e-06,2.00230047417427e-07
2,0.25,45,5.65018469716646e-08,9.84918099788704e-05,8.55122916920692e-12,3.27197881913599e-07,4.88121025578325e-07
2,0.5,45,1.37312962343775e-07,0.000142879305745697,1.94911448092583e-12,1.96530755974811e-06,2.20465869337633e-06
2,0.25,90,1.49762412062512e-07,0.000111427647453311,1.75993941642361e-11,3.59565784514848e-07,6.83030538302376e-07
2,0.5,90,4.55504369797335e-07,0.000143089385754302,3.92666524295926e-11,1.15587385745436e-06,2.08652858511849e-07
